,question_de,answer_de,max_points,keywords,student_answer,human_score,human_feedback,rueckfrage,error_type
51,Was ist der Unterschied zwischen Shallow Learning und Deep Learning?,"Shallow Learning bezieht sich auf traditionelle maschinelle Lernalgorithmen mit einer geringen Anzahl an Schichten oder Merkmalen, während Deep Learning neuronale Netze mit mehreren Schichten umfasst, die hierarchische Repräsentationen der Daten lernen können.",5,Shallow Learning; traditionelle maschinelle Lernalgorithmen; Deep Learning; neuronale Netze; Schichten; Merkmale,"Shallow Learning beinhaltet traditionelle maschinelle Lernalgorithmen, die einfache Merkmale nutzen. Deep Learning verwendet neuronale Netze mit mehreren Schichten zur Erkennung von Mustern.",3,"Die Antwort bleibt insgesamt sehr oberflächlich, sodass nicht eindeutig beurteilt werden kann, ob der Sachverhalt fachlich korrekt verstanden wurde, zumal einige Zusammenhänge unklar wirken. Zwar werden alle relevanten Fachbegriffe genannt und korrekt eingeordnet, jedoch fehlt die inhaltliche Tiefe, um die Unterschiede zwischen Shallow und Deep Learning präzise darzustellen. Grundsätzlich werden die wesentlichen Aspekte angesprochen, jedoch nicht vollständig ausgeführt, und die Konzepte bleiben nur grob voneinander abgegrenzt. Die Darstellung ist zwar strukturiert, wirkt stellenweise jedoch verwirrend, weshalb eine Rückfrage sinnvoll wäre, um die grundlegenden Konzepte sowie die im Shallow Learning verwendeten Merkmale genauer klären zu lassen.",3,2
52,Was ist der Unterschied zwischen k-facher Kreuzvalidierung und Leave-One-Out-Kreuzvalidierung?,"Die k-fache Kreuzvalidierung teilt die Daten in k Untergruppen auf und trainiert das Modell k-mal, wobei jedes Mal eine andere Untergruppe als Validierungsset dient. Die Leave-One-Out-Kreuzvalidierung trainiert das Modell hingegen n-mal (wobei n die Anzahl der Datenpunkte ist), indem sie jeweils alle bis auf einen Datenpunkt als Trainingsset verwendet und den verbleibenden Punkt als Validierungsset.",6,k-fache Kreuzvalidierung; Leave-One-Out-Kreuzvalidierung; Untergruppen; Validierungsset; Trainingsset,"Der Unterschied zwischen k-facher Kreuzvalidierung und Leave-One-Out-Kreuzvalidierung besteht darin, dass bei jedem Durchlauf der Leave-One-Out-Technik alle Daten außer einem als Trainingsset verwendet werden. Bei der k-fachen Kreuzvalidierung wird das Validierungsset aus den k-Untergruppen ausgewählt.",4,"Die Antwort stellt die Grundidee beider Kreuzvalidierungsverfahren korrekt dar und enthält keine wesentlichen fachlichen Fehler, auch wenn einige Zusammenhänge nicht ganz klar ausgeführt sind. Alle relevanten Schlüsselbegriffe werden korrekt und im passenden Kontext verwendet. Die wesentlichen Aspekte der Fragestellung werden angesprochen und die beiden Konzepte grundsätzlich voneinander abgegrenzt, jedoch bleiben kleinere Details offen. Da vieles nur implizit bleibt und Interpretationsspielraum lässt, ist nicht eindeutig erkennbar, ob das Konzept vollständig verstanden wurde, weshalb eine Rückfrage zur konkreten Bildung von Trainings- und Validierungssets sinnvoll wäre.",2,3
53,Was ist der Zweck einer Konfusionsmatrix in Klassifikationsaufgaben?,"Eine Konfusionsmatrix ist eine Tabelle, die die Leistung eines Klassifikationsmodells visualisiert, indem sie vorhergesagte Klasseinstanzen mit tatsächlichen vergleicht. Sie zeigt die Anzahl der wahren Positiven, wahren Negativen, falschen Positiven und falschen Negativen.",4,Konfusionsmatrix; Klassifikationsmodell; wahre Positive; wahre Negative; falsche Positive; falsche Negative,"Eine Konfusionsmatrix wird in Klassifikationsaufgaben verwendet, um wahre Positiven und wahren Negativen zu identifizieren. Sie hilft, die Genauigkeit eines Klassifikationsmodells zu verstehen.",2,"Die Antwort geht grundsätzlich in die richtige Richtung, enthält jedoch fachliche Unklarheiten, da der Zweck der Konfusionsmatrix teilweise falsch interpretiert wird. Zwar zeigt der Student ein grundlegendes Verständnis des Konzepts, nennt jedoch nicht alle relevanten Schlüsselbegriffe und lässt zwei wesentliche Aspekte der Konfusionsmatrix aus. Obwohl alle Kernpunkte der Fragestellung angesprochen werden und die Darstellung logisch sowie verständlich ist, bleiben inhaltliche Lücken bestehen. Daher wäre eine Rückfrage sinnvoll, um zu klären, welche weiteren Informationen aus einer Konfusionsmatrix abgelesen werden können und ob sie tatsächlich nur zur Messung der Genauigkeit dient.",1,0
54,"Was ist der Unterschied zwischen univariater, bivariater und multivariater Analyse?",Univariate Analyse untersucht die Verteilung und deskriptive Statistik einer einzelnen Variablen. Bivariate Analyse erforscht den Zusammenhang zwischen zwei Variablen. Multivariate Analyse beinhaltet das gleichzeitige Analysieren mehrerer Variablen.,5,univariate; bivariate; multivariate; Verteilung; deskriptive Statistik; Zusammenhang,"Univariate Analyse betrachtet die Verteilung einer einzelnen Variablen, ohne explizit auf deskriptive Statistik einzugehen. Bivariate Analyse untersucht den Zusammenhang zwischen zwei Variablen. Multivariate Analyse kann sich mit der Verteilung mehrerer Variablen beschäftigen, ohne spezifisch auf den Aspekt des Zusammenhangs zwischen diesen einzugehen.",3,"Die Antwort enthält inhaltliche Fehler, da insbesondere die univariate und multivariate Analyse nur teilweise korrekt beschrieben werden und einige genannte Aspekte nicht zutreffen. Zwar verwendet der Student alle relevanten Schlüsselbegriffe, jedoch nicht durchgängig im richtigen Kontext. Alle wesentlichen Komponenten der Fragestellung werden angesprochen, bleiben jedoch teilweise fachlich ungenau. Die Konzepte werden zwar nicht miteinander vermischt, dennoch werden deutliche Wissenslücken sichtbar, weshalb eine Rückfrage zur genaueren Erläuterung der univariaten und multivariaten Analyse sinnvoll wäre.",3,2
55,Was ist die Varianz eines statistischen Schätzers?,"Die Varianz eines statistischen Schätzers misst die Streuung oder Variabilität der Werte des Schätzers um seinen erwarteten Wert. Eine hohe Varianz zeigt an, dass die Werte des Schätzers weit verstreut sind, während eine niedrige Varianz darauf hinweist, dass die Werte dicht beieinander liegen.",4,Varianz; statistischer Schätzer; Streuung; Variabilität; erwarteter Wert,"Die Varianz eines statistischen Schätzers beschreibt, wie weit die Werte des Schätzers verstreut sein können.",2,"Die Antwort stellt das Konzept der Varianz nur annähernd korrekt dar, bleibt jedoch unvollständig und teilweise vage formuliert. Es werden lediglich zwei der relevanten Schlüsselbegriffe verwendet, wodurch zentrale Aspekte wie Streuung, Variabilität und der Bezug zum erwarteten Wert nicht ausreichend erklärt werden. Wesentliche Teile der Fragestellung bleiben damit unbeantwortet, insbesondere die Bedeutung einer hohen bzw. niedrigen Varianz. Obwohl das Konzept nicht mit anderen vermischt wird und die Darstellung grundsätzlich nachvollziehbar ist, bestehen deutliche Wissenslücken, weshalb eine Rückfrage sinnvoll wäre, etwa zur Rolle des erwarteten Werts und zur Interpretation der Varianz.",2,0
56,Was ist der Unterschied zwischen parametrischen und nicht-parametrischen statistischen Tests?,"Parametrische statistische Tests gehen davon aus, dass die Daten einer spezifischen Wahrscheinlichkeitsverteilung (z. B. Normalverteilung) folgen, während nicht-parametrische Tests keine solchen Annahmen treffen und auf Rängen oder Häufigkeiten basieren.",6,parametrisch; nicht-parametrisch; Wahrscheinlichkeitsverteilung; Normalverteilung; Ränge; Häufigkeiten,"Parametrische Tests sind eher für genaue Messwerte gedacht, während nicht-parametrische Tests benutzt werden, wenn man sich mit den Daten nicht so sicher ist oder sie unordentlich sind.",0,"Die Antwort beschreibt den Unterschied zwischen parametrischen und nicht-parametrischen Tests fachlich fehlerhaft und weicht deutlich von der Musterlösung ab. Zwar werden einzelne Schlüsselbegriffe genannt, diese werden jedoch nicht im korrekten Kontext verwendet. Obwohl alle Aspekte der Fragestellung angesprochen werden, wird der eigentliche Kern der Unterscheidung verfehlt. Die Darstellung ist zwar verständlich, macht jedoch eine erhebliche Wissenslücke sichtbar, weshalb eine Rückfrage sinnvoll wäre, etwa zur Rolle von Wahrscheinlichkeitsverteilungen und zur Grundlage nicht-parametrischer Tests.",1,0
57,Was ist der Unterschied zwischen Korrelation und Kausalität in der Statistik?,"Korrelation misst die Stärke und Richtung der linearen Beziehung zwischen zwei Variablen, während Kausalität anzeigt, dass Änderungen in einer Variablen direkt Änderungen in einer anderen Variable verursachen.",4,Korrelation; Kausalität; lineare Beziehung; direkte Ursache,"Korrelation bedeutet, dass zwei Dinge irgendwie zusammen auftreten. Kausalität heißt, dass etwas passiert, weil vorher etwas anderes da war, aber das ist in der Statistik oft nicht klar.",1,"Die Antwort beschreibt den Unterschied zwischen Korrelation und Kausalität fachlich nicht korrekt und enthält wesentliche inhaltliche Fehler. Zwar werden die zentralen Begriffe genannt, sie werden jedoch nicht genutzt, um die zugrunde liegenden Konzepte verständlich zu erklären. Alle Aspekte der Fragestellung werden formal angesprochen, inhaltlich jedoch falsch wiedergegeben. Obwohl eine Abgrenzung versucht wird, ist diese nicht sachgerecht, sodass eine deutliche Wissenslücke erkennbar ist und eine Rückfrage, etwa zur Messung einer linearen Beziehung, sinnvoll erscheint.",3,1
58,Was ist der Zweck von Regularisierung im maschinellen Lernen?,"Regularisierung ist eine Technik, um Überanpassung zu verhindern, indem ein Strafterm zur Zielfunktion des Modells hinzugefügt wird, was komplexe Modelle unattraktiv macht. Häufig verwendete Regularisierungstechniken sind L1-Regularisierung (Lasso) und L2-Regularisierung (Ridge).",6,Regularisierung; Überanpassung; Strafterm; Zielfunktion; L1-Regularisierung; L2-Regularisierung; Komplexität; Modell; Lasso; Ridge,"Regularisierung wird eingesetzt, um Unteranpassung zu vermeiden, damit ein Modell nicht zu simpel bleibt. Durch Techniken wie das Erhöhen der Modellkomplexität oder das Hinzufügen weiterer Merkmale kann das Modell besser an die Daten angepasst werden.",0,"Die Antwort verfehlt den Kern der Fragestellung, da Regularisierung fälschlicherweise mit Unteranpassung in Verbindung gebracht wird, obwohl sie der Vermeidung von Überanpassung dient. Zwar werden einzelne relevante Begriffe genannt, der zugrunde liegende Sachverhalt wird jedoch insgesamt inkorrekt erklärt, was auf ein grundlegendes Missverständnis hindeutet. Der Student versucht zwar, auf Regularisierung einzugehen, erläutert deren Zweck und Techniken jedoch fehlerhaft. Obwohl die Darstellung nachvollziehbar ist, wird eine deutliche Wissenslücke sichtbar, weshalb eine Rückfrage sinnvoll wäre, etwa zur Rolle von Straftermen sowie zur Bedeutung von Lasso und Ridge.",3,2
59,Was ist der Unterschied zwischen Batch Gradient Descent und Stochastic Gradient Descent?,"Batch Gradient Descent aktualisiert die Modellparameter unter Verwendung des Durchschnittsgradienten des gesamten Trainingsdatensatzes, während Stochastic Gradient Descent Parameter unter Verwendung des Gradienten eines einzigen zufällig ausgewählten Datenpunkts oder Mini-Batches aktualisiert.",4,Batch Gradient Descent; Stochastic Gradient Descent; Durchschnittsgradient; einzelner Datenpunkt; Mini-Batch,"Batch Gradient Descent wird vor allem bei kleinen Datensätzen genutzt und ist schneller, weil es alles auf einmal berechnet. Stochastic Gradient Descent arbeitet dagegen langsamer Schritt für Schritt und ist eher für einfache Modelle gedacht.",0,"Die Antwort stellt die beiden Gradientenverfahren fachlich nicht korrekt dar, da das zugrunde liegende Konzept des Gradienten nicht richtig eingeordnet und die Unterschiede fehlerhaft erklärt werden. Zwar werden die zentralen Begriffe aus der Fragestellung wiederholt, jedoch fehlen weitere notwendige Fachbegriffe, um die Verfahren sachgerecht zu erläutern. Die Konzepte werden formal voneinander unterschieden, diese Unterscheidung macht jedoch deutlich, dass sie inhaltlich nicht verstanden wurden. Obwohl die Antwort für den Prüfer nachvollziehbar ist, wird eine deutliche Wissenslücke sichtbar, weshalb eine Rückfrage etwa zum Einsatz von Durchschnittsgradienten oder Mini-Batches sinnvoll wäre.",3,3
60,Was ist der Zweck der Merkmalsauswahl im maschinellen Lernen?,"Die Merkmalsauswahl beinhaltet die Auswahl der relevantesten Merkmale aus einem Datensatz, um die Modellleistung zu verbessern, Overfitting zu reduzieren und die Interpretierbarkeit zu erhöhen.",5,Merkmalsauswahl; relevante Merkmale; Modellleistung; Overfitting; Interpretierbarkeit,"Merkmalsauswahl dient vor allem dazu, mehr Informationen in ein Modell zu bringen, indem möglichst viele verschiedene Merkmale verwendet werden. So kann das Modell komplexer werden und besser auf spezielle Trainingsdaten reagieren.",0,"Die Antwort interpretiert das Konzept der Merkmalsauswahl grundlegend falsch, da der Student die Richtung der Auswahl missversteht und den Zweck im maschinellen Lernen nicht korrekt erfasst. Der Umgang mit den relevanten Fachbegriffen ist unsicher, was darauf hindeutet, dass zentrale Zusammenhänge wie der Bezug zu Overfitting oder Modellleistung nicht verstanden wurden. Zwar versucht der Student, die Frage zu beantworten, verfehlt jedoch den inhaltlichen Kern vollständig. Das Konzept wird formal abgegrenzt, ist jedoch im Kontext der Data Science nicht korrekt eingeordnet, sodass unklar bleibt, ob ein Missverständnis der Frage oder des Begriffs vorliegt. Eine Rückfrage ist daher sinnvoll, um zu klären, was der Student unter „Auswahl“ versteht und warum in der Praxis weniger Merkmale verwendet werden als verfügbar sind.",3,1
61,Was ist der Unterschied zwischen Regularisierung und Merkmalsauswahl im maschinellen Lernen?,"Die Regularisierung bestraft übermäßig komplexe Modelle, indem sie einen Strafterm zur Zielfunktion hinzufügt, während die Merkmalsauswahl explizit eine Teilmenge von Merkmalen auswählt, um sie im Modell basierend auf ihrer Bedeutung oder Relevanz einzuschließen.",6,Regularisierung; Merkmalsauswahl; Strafterm; Zielfunktion; Merkmale,"Regularisierung und Merkmalsauswahl haben im Grunde dasselbe Ziel, nämlich ein Modell größer und leistungsfähiger zu machen. Bei der Regularisierung werden zusätzliche Parameter eingeführt, während bei der Merkmalsauswahl einfach mehr Merkmale in das Modell aufgenommen werden, damit es genauer wird.",0,"Die Antwort stellt den Sachverhalt insgesamt nicht korrekt dar und enthält durchgehend inhaltliche Fehler, insbesondere fehlt eine klare Unterscheidung zwischen Regularisierung und Merkmalsauswahl. Zwar werden einige Schlüsselbegriffe genannt, diese werden jedoch fehlerhaft eingesetzt und tragen nicht zur Klärung der Konzepte bei. Der Student versucht zwar, auf die wesentlichen Aspekte der Frage einzugehen, verfehlt jedoch deren Bedeutung vollständig. Die Konzepte werden faktisch gleichgesetzt, wodurch der gefragte Unterschied nicht erkennbar ist, und die Darstellung wirkt insgesamt verwirrend. Eine Rückfrage ist daher notwendig, um sowohl das Prinzip der Merkmalsauswahl als auch den Zweck der Regularisierung gezielt zu klären.",3,2
62,"Was ist der F1-Score, und warum ist er nützlich bei unbalancierten Datensätzen?","Der F1-Score ist die harmonische Mittelwert von Präzision und Recall und bietet eine einzige Metrik zur Bewertung der Leistung eines Klassifikators. Er ist besonders nützlich für unbalancierte Datensätze, bei denen eine Klasse viel häufiger vorkommt als andere.",5,F1-Score; harmonischer Mittelwert; Präzision; Recall; unbalancierte Datensätze,"Der F1-Score beschreibt, wie viele Vorhersagen ein Modell insgesamt richtig macht. Er ist bei unbalancierten Datensätzen hilfreich, weil er zeigt, wie gut ein Modell mit vielen Daten umgehen kann, auch wenn eine Klasse sehr dominant ist.",0,"Die Antwort beschreibt den F1-Score fachlich fehlerhaft und trifft nicht den Kern der Kennzahl in der Data Science. Es werden nur zwei der relevanten Schlüsselbegriffe verwendet, und diese zudem nicht im korrekten Zusammenhang eingesetzt. Zwar versucht der Student, die Frage zu beantworten, verfehlt jedoch sowohl die Definition als auch den Zweck des F1-Scores bei unbalancierten Datensätzen. Die Darstellung wirkt insgesamt verwirrend und lässt eine deutliche Wissenslücke erkennen, weshalb eine Rückfrage sinnvoll wäre, etwa zu den Konzepten von Precision und Recall und deren Zusammenspiel im F1-Score.",3,1
63,Erkläre das Bias-Variance-Trade-off.,"Das Bias-Variance-Trade-off ist der Kompromiss zwischen dem Fehler, der durch Bias (Unteranpassung) und den Fehler, der durch Varianz (Überanpassung) eingeführt wird, wenn ein maschinelles Lernmodell erstellt wird.",6,Bias-Variance-Trade-off; Bias; Variance; Unteranpassung; Überanpassung; Maschinelles Lernen,"Dieser Trade Off ist der Kompromiss zwischen den Fehlern beim Erstellen eines maschinellen Modells, welches durch Bias, also die über Anpassung und durch Varianz eingeführt wird.",2,"Die Antwort erkennt den Trade-off und nennt Bias und Varianz, enthält jedoch einen zentralen fachlichen Fehler: Bias wird fälschlich als Überanpassung beschrieben. Wichtige Aspekte und eine klare Abgrenzung der Begriffe fehlen, sodass die Antwort inhaltlich ungenau und zu oberflächlich bleibt.",3,0
64,Wie gehst du mit fehlenden Daten in einem Datensatz um?,"Fehlende Daten können durch Imputationsverfahren wie die Imputation mit dem Mittelwert, Median oder Modus behandelt werden, indem prädiktive Modelle zur Schätzung der fehlenden Werte verwendet werden oder indem Zeilen oder Spalten mit fehlenden Werten gelöscht werden, abhängig von der Größe und Art des Datensatzes.",6,Imputation; Mittelwert; Median; Modus; prädiktive Modelle; Löschen von Zeilen oder Spalten,"So dies möglich erscheint, werden mit der Hilfe mathematischer Verfahren der Statistik fehlende Werte ergänzt. Hier kommen zum Beispiel Mittelwert, Median oder Modus in Frage. Dabei können Vorhersagemodelle unterstützen. Ist dies nicht sinnvoll möglich, können Werte. NAN ersetzt werden. So dass diese in Berechnungen keine Berücksichtigung finden. Je nach Größe und Beschaffenheit des Datensatzes kann auch die Löschung ganzer Zeilen oder Spalten eine Option darstellen.",6,"Die Antwort beschreibt gängige und fachlich korrekte Methoden zum Umgang mit fehlenden Daten, insbesondere Imputation und das Löschen von Zeilen oder Spalten. Die relevanten Fachbegriffe werden überwiegend korrekt verwendet. Leichte Unklarheiten bestehen bei der Beschreibung von NaN sowie in der sprachlichen Struktur, insgesamt ist die Antwort jedoch inhaltlich vollständig und nachvollziehbar.",0,1
65,Was ist der Unterschied zwischen Klassifikation und Regression?,"Die Klassifikation ist eine überwachte Lernaufgabe, bei der das Ziel darin besteht, kategoriale Labels oder Klassen vorherzusagen, während die Regression ebenfalls eine überwachte Lernaufgabe ist, bei der das Ziel darin besteht, kontinuierliche numerische Werte vorherzusagen.",4,Klassifikation; Überwachtes Lernen; kategoriale Labels oder Klassen; Regression; kontinuierliche numerische Werte,"Beides sind überwachte Lernaufgaben, wobei ersteres dazu dient, Labels oder Klassen vorherzusagen. Und Letzteres zielt auf die Vorhersage von kontinuierlichen numerischen Werten ab.",4,"Die Antwort beschreibt die Unterschiede zwischen Klassifikation und Regression fachlich korrekt und vollständig. Die relevanten Fachbegriffe werden angemessen und im richtigen Kontext verwendet, und die beiden Konzepte werden klar voneinander abgegrenzt. Die Antwort ist logisch aufgebaut, verständlich formuliert und für den Prüfer gut nachvollziehbar.",0,0
66,Was ist Regularisierung in neuronalen Netzwerken?,"Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straftermen zur Verlustfunktion, um Overfitting zu verhindern.",6,Regularisierung; neuronale Netzwerke; Verlustfunktion; Overfitting,"Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straf Themen, so Verlustfunktion, um Rohr Fitting zu verhindern.",6,Fachlich korrekt und Schlüsselbegriffe richtig verwendet. Grundidee der Regularisierung gegen Overfitting wird genannt. Klar und verständlich.,0,3
67,Was ist Deep Learning?,"Deep Learning ist ein Untergebiet des Machine Learnings, das sich auf künstliche neuronale Netze mit mehreren Schichten konzentriert.",5,Untergebiet; Machine Learning; künstliche neuronale Netze; mehrere Schichten,"Machine Learning ist ein Untergebiet von Deep Learning, welches sich grundsätzlich mit maschinellem Lernen befasst.",0,"Die Antwort ist leider falsch: Deep Learning ist ein Untergebiet von Machine Learning, nicht umgekehrt. Außerdem fehlt die Spezifik, dass Deep Learning mehrschichtige künstliche neuronale Netze nutzt.",3,0
68,Was ist ein Markov-Entscheidungsprozess (MDP)?,"Ein Markov-Entscheidungsprozess (MDP) ist ein mathematisches Rahmenwerk, das zur Modellierung von sequenziellen Entscheidungsproblemen verwendet wird, bei denen ein Agent mit einer Umgebung interagiert.",4,Markov-Entscheidungsprozess; mathematisches Rahmenwerk; sequenzielle Entscheidungsprobleme; Agent; Umgebung,"Puh, da muss ich scharf nachdenken. Markov Entscheidungsprozesse hatten irgendwas mit einem Rahmenwerk zu tun, da wurde etwas modelliert, wie man Entscheidungsprobleme angehen kann, ein Agent spielte glaube ich auch eine Rolle.","2,5","Grundsätzlich korrekt: Ein Rahmenwerk und ein Agent werden erwähnt.
Fehlt: „sequenzielle Entscheidungsprobleme“ und „Interaktion mit der Umgebung“.
Formulierung unsicher („glaube ich“).",2,0
69,Was ist ein Autoencoder?,"Ein Autoencoder ist eine Art von neuronalen Netzarchitektur, die darauf trainiert wird, ihre Eingabedaten auf der Ausgabeschicht zu rekonstruieren.",4,Autoencoder; neuronale Netzarchitektur; rekonstruieren; Eingabedaten,"Das ist eine neuronale Netzwerkarchitektur, welche darauf spezialisiert ist, ihre Eingabedaten auf der Ausgabe Schicht zu rekonstruieren.","3,5","Die Antwort ist größtenteils korrekt und verständlich formuliert, allerdings fehlen wichtige Fachbegriffe wie ‚Autoencoder‘ und der Aspekt des Trainings, weshalb die Erklärung nicht vollständig ist. Die Konzepte werden klar voneinander getrennt, sodass die Antwort logisch nachvollziehbar bleibt.",1,0
70,Was ist die 'Fluch der Dimensionalität' im Kontext der Merkmalsauswahl?,"Der Fluch der Dimensionalität in der Merkmalsauswahl bezieht sich auf die Herausforderungen und Einschränkungen, die durch hochdimensionale Daten entstehen, wie z.B. erhöhte Rechenkomplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.",6,Fluch der Dimensionalität; Merkmalsauswahl; hochdimensionale Daten; Rechenkomplexität; sinnvolle Merkmale,"Da bin ich mir nicht so sicher. Aber ich glaube, das bezog sich auf die Herausforderungen und Einschränkungen, die durch hoch dimensionale Daten entstehen. Hierzu zählten, glaube ich, zum Beispiel erhöhte Rechen, Komplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.",4,"Inhaltlich größtenteils korrekt und relevant, aber unvollständig und unsicher formuliert. Für die volle Punktzahl wäre eine präzisere und vollständigere Erklärung nötig.",2,1
71,Was ist der Unterschied zwischen k-Means-Clustering und hierarchischem Clustering?,"Das k-Means-Clustering partitioniert die Daten in k Cluster, indem es die Summe der quadrierten Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering erstellt hingegen eine baumartige Hierarchie von Clustern, indem es rekursiv Cluster basierend auf deren Nähe zusammenführt oder aufteilt.",6,k-Means-Clustering; Partitionierung; Summe der quadrierten Abweichungen; hierarchisches Clustering; baumartige Hierarchie; rekursive Mergen/Splitting,"Das k means clustering Party tioniert die Daten in K Cluster, indem es das Quadrat der Summe der Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering. Wer ist dagegen? Eine Hierarchie von Clustern, indem es rekursiv Cluster basierend auf den größten Abstand zusammenführt.",4,"Das Verständnis des grundlegenden Unterschieds ist vorhanden, aber es gibt fachliche Ungenauigkeiten bei beiden Methoden, die eine volle Punktzahl verhindern.",3,2
72,Welche Rolle spielt die Regularisierung bei der Reduktion der Modellkomplexität?,"Regularisierung in Machine Learning reduziert die Modellkomplexität, indem sie Strafterme zur Verlustfunktion hinzufügt. Dies fördert einfachere Modelle mit kleineren Koeffizienten oder weniger Features.",6,Regularisierung; Modellkomplexität; Strafterme; Verlustfunktion; Koeffizienten; Features,Regularisierung fördert Modelle mit kleineren Koeffizienten oder wenigen Features.,3,"Die Antwort trifft den Kern der Wirkung, lässt jedoch den eigentlichen Mechanismus der Regularisierung aus und bleibt stark verkürzt.",2,0
73,Welchen Zweck erfüllt die Hauptkomponentenanalyse (PCA) bei der Reduktion der Dimensionalität?,"Die Hauptkomponentenanalyse (PCA) wird verwendet, um die Dimensionalität eines Datensatzes zu reduzieren, indem die ursprünglichen Merkmale in eine neue Menge orthogonaler Hauptkomponenten transformiert werden. Diese Hauptkomponenten erfassen die maximale Varianz im Daten.",6,Hauptkomponentenanalyse; Dimensionalität reduzieren; orthogonale Hauptkomponenten; maximale Varianz,"PCA wird verwendet, um die Werte der Variablen zu addieren und Vorhersagen zu treffen.",0,"Die Antwort ist fachlich falsch: PCA dient nicht dazu, Variablenwerte zu addieren oder Vorhersagen zu treffen. Relevante Begriffe wie Dimensionalität, Hauptkomponenten, maximale Varianz und orthogonale Transformation werden nicht korrekt verwendet, und zentrale Aspekte der Fragestellung werden nicht behandelt. Daher 0 Punkte.",3,0
74,Was ist der Unterschied zwischen k-Means und hierarchischer Clusteranalyse?,"Die K-Means-Clusteranalyse teilt die Daten in k Cluster auf, indem sie die Summe der quadrierten Abweichungen innerhalb der Cluster minimiert. Die hierarchische Clusteranalyse erstellt hingegen eine baumartige Hierarchie von Clustern, indem sie rekursiv Clusters basierend auf Nähe zusammenführt oder teilt.",4,k-Means; hierarchische Clusteranalyse; Minimierung der Summe der quadrierten Abweichungen; baumartige Hierarchie; rekursive Zusammenführung/Splitting,"Die K-Means-Clusteranalyse gruppiert Datenpunkte in eine vorgegebene Anzahl von Clustern, indem sie die innerhalb der Cluster liegenden quadrierten Abstände zu den jeweiligen Zentroiden minimiert.
Die hierarchische Clusteranalyse hingegen ordnet die Daten schrittweise in einer hierarchischen Struktur an, indem sie Cluster auf Basis eines Distanzmaßes sukzessive zusammenführt oder aufteilt.","3,5","Die Antwort ist weitgehend korrekt und verständlich, jedoch wurde nicht erwähnt, dass K-Means die Daten in k Cluster aufteilt. Deshalb wurde ein halber Punkt abgezogen.",2,1
75,Was ist der Unterschied zwischen Bag-of-Words und Wortembeddings in der NLP?,"Bag-of-Words repräsentiert Texte als Sammlung von Wortzählungen oder -häufigkeiten, ohne die Wortreihenfolge und Grammatik zu berücksichtigen. Währenddessen repräsentieren Wortembeddings Wörter als dichte Vektoren im kontinuierlichen Vektorraum und erfassen semantische Beziehungen zwischen den Wörtern.",6,Bag-of-Words; Wortzählungen; Kontextinformationen; Semantik; Vektoren; Vektorraum,Bei Bag-of-Words werden aus Texten die Häufigkeiten der auftretenden Wörter gezählt und gespeichert.,2,"Die Antwort beschreibt korrekt, wie Bag-of-Words Worthäufigkeiten erfasst, geht jedoch nicht auf Wortembeddings oder semantische Beziehungen ein. Deshalb nur Teilpunkte.",2,1
76,Was ist der Unterschied zwischen Deep Learning und traditionellen Machine-Learning-Algorithmen?,"Deep Learning umfasst neuronale Netze mit mehreren Schichten, die hierarchische Repräsentationen von Daten lernen können, während traditionelle Machine-Learning-Algorithmen typischerweise handgefertigte Merkmale und einfachere Modelle verwenden.",6,Deep Learning; neuronale Netze; mehrere Schichten; hierarchische Repräsentationen; traditionelle Machine-Learning-Algorithmen; handgefertigte Merkmale; einfache Modelle,"Deep Learning umfasst neuronale Netze mit genau einer Schicht, die hierarchische Repräsentationen von Daten lernen können, während traditionelle Machine-Learning-Algorithmen typischerweise handgefertigte Merkmale und einfachere Modelle verwenden.",5,"Die Antwort enthält einen wesentlichen Fehler: Deep Learning umfasst neuronale Netze mit mehreren Schichten, nicht nur einer. Der Rest der Aussage ist korrekt. Daher Punkteabzug.",3,0
77,Was ist der Unterschied zwischen Convolutional Neural Networks (CNNs) und Recurrent Neural Networks (RNNs)?,"Convolutional Neural Networks (CNNs) sind gut geeignet für die Verarbeitung von gitterförmigen Daten wie Bildern, während rekursive neuronale Netzwerke (RNNs) entwickelt wurden, um sequenzielle Daten mit zeitlichen Abhängigkeiten wie Text oder Zeitreihen zu verarbeiten.",4,Convolutional Neural Networks; Recurrent Neural Networks; gitterförmige Daten; sequenzielle Daten; zeitliche Abhängigkeiten,"Convolutional Neural Networks eignen sich vor allem für Bilddaten, während rekursive neuronale Netzwerke zur Verarbeitung von zeitlich aufeinanderfolgenden Daten wie Text oder Zeitreihen verwendet werden.",3,"Die Kernaussage der Musterlösung wird korrekt wiedergegeben (CNNs → Bilddaten, RNNs → sequenzielle Daten). Allerdings fehlen die genaueren fachlichen Begründungen (gitterförmige Daten, zeitliche Abhängigkeiten), weshalb ein kleiner Präzisionsverlust vorliegt, aber kein inhaltlicher Fehler.",2,0
